_MeanReward,_Episode
22.205490451855503,20
23.38512406682316,40
22.119310118193187,60
35.381814204828245,80
38.386555412502375,100
53.655100419870244,120
65.09960550697008,140
70.11361972873335,160
83.83751291146703,180
90.0826121942018,200
125.77464741189985,220
162.79336770459136,240
167.96675078973595,260
191.51465574804138,280
195.3634681283605,300
198.13780739857043,320
216.28581202302482,340
202.4411666095144,360
217.3234050697473,380
205.1884067256221,400
219.9921732067032,420
212.10903183969796,440
217.3437891148593,460
222.52644046710012,480
224.10020139990644,500
232.2757166177791,520
234.2199319865274,540
257.7287299268902,560
300.94719630698717,580
308.85974282460205,600
345.2926379934479,620
354.1907956464758,640
361.83908072276193,660
360.95058594041535,680
375.2583003553256,700
386.9313704529742,720
403.3025921509162,740
426.05847238108834,760
448.2886769186907,780
431.26171821447633,800
509.51093961522935,820
535.7309812536987,840
630.8291254571036,860
591.9305040445545,880
648.2751495581892,900
706.789520977808,920
602.2501870097004,940
782.1313933689798,960
996.3451173628824,980
927.7011895385737,1000
967.8522121352361,1020
951.7108274015706,1040
1028.3075160521253,1060
887.2734645678589,1080
1021.5339633383952,1100
1174.0,1120
1087.5898541661913,1140
1237.0,1160
1225.0,1180
1211.0,1200
1210.0,1220
874.8594146463529,1240
981.3117323439204,1260
1063.308957715351,1280
1117.0,1300
1193.0,1320
1166.0,1340
1118.0,1360
1183.0,1380
1199.0,1400
1177.0,1420
1223.0,1440
1237.0,1460
1131.0,1480
1232.0,1500
1120.0,1520
1210.0,1540
1229.0,1560
1089.8549002316968,1580
1170.0,1600
1179.0,1620
1217.0,1640
1135.0,1660
1116.0,1680
1172.0,1700
1182.0,1720
1108.0,1740
1243.0,1760
1258.0,1780
1293.0,1800
1258.0,1820
1283.0,1840
1277.0,1860
1264.0,1880
1284.0,1900
1273.0,1920
1255.0,1940
1256.0,1960
1287.0,1980
1290.0,2000
